date;amount;category;description;account;transactionkind
03.10.2022;954,00;Miete;Miete an KG;Girokonto;Ausgabe
03.10.2022;50,00;Überweisung;Urlaubsgeld;Girokonto;Ausgabe
03.10.2022;350,00;Investition;Trade Republic;Girokonto;Ausgabe
15.10.2022;7,00;Technische Ausrüstung;Microsoft Office;Girokonto;Ausgabe
15.10.2022;50,00;Haus;Elektrizitätswerke Schönau;Girokonto;Ausgabe
15.10.2022;39,98;Haus;Vodafone;Girokonto;Ausgabe
25.10.2022;28,79;Freizeit;BooKBeat;Girokonto;Ausgabe
02.10.2022;23,87;Lebensmittel;McDonalds;Girokonto;Ausgabe
02.10.2022;81,84;Tanken;Tanken für 2,17.9;Girokonto;Ausgabe
09.10.2022;3,32;Anpassung;Bargeldanpassung;Barvermögen;Ausgabe
03.10.2022;12,10;Allgemein;Philips Kantiengeld;Girokonto;Ausgabe
03.10.2022;50,00;Überweisung;Bargeldabhebung;Girokonto;Ausgabe
03.10.2022;60,54;Lebensmittel;rewe;Girokonto;Ausgabe
07.10.2022;26,98;Schule;Udemy;Girokonto;Ausgabe
09.10.2022;250,00;Reisen;Exner Wochenenende;Girokonto;Ausgabe
09.10.2022;5,26;Anpassung;Girokontoanpassung;Girokonto;Ausgabe
20.10.2022;51,69;Lebensmittel;aldi;Girokonto;Ausgabe
23.10.2022;19,96;Tanken;Tanken für 1,87.9;Barvermögen;Ausgabe
14.10.2022;71,96;Tanken;Tanken für 2,15.9;Girokonto;Ausgabe
23.10.2022;30,00;Geschenke;Inga;Barvermögen;Ausgabe
24.10.2022;21,99;Anpassung;Bargeldanpassung;Barvermögen;Ausgabe
11.10.2022;10,55;Reisen;DB;Girokonto;Ausgabe
13.10.2022;35,00;Geschenke;Inga;Girokonto;Ausgabe
14.10.2022;23,18;Lebensmittel;Subway;Girokonto;Ausgabe
17.10.2022;55,08;Haus;Rundfunkgebühren;Girokonto;Ausgabe
18.10.2022;6,99;Technische Ausrüstung;MMOGA;Girokonto;Ausgabe
24.10.2022;7,18;Anpassung;Girokontoanpassung;Girokonto;Ausgabe
26.10.2022;60,01;Tanken;Tanken für 1,86.9;Girokonto;Ausgabe
21.10.2022;51,69;Lebensmittel;aldi;Girokonto;Ausgabe
31.10.2022;45,99;Geschenke;Thalia Everdale Pearlbrook;Girokonto;Ausgabe
03.11.2022;17,10;Versicherungen;BuV Bayrische Lebensversicherung;Girokonto;Ausgabe
03.11.2022;100,00;Versicherungen;Canada Life Assurance;Girokonto;Ausgabe
03.11.2022;954,00;Miete;Miete an KG;Girokonto;Ausgabe
03.11.2022;50,00;Überweisung;Urlaubsgeld;Girokonto;Ausgabe
03.11.2022;350,00;Investition;Trade Republic;Girokonto;Ausgabe
15.11.2022;7,00;Technische Ausrüstung;Microsoft Office;Girokonto;Ausgabe
15.11.2022;50,00;Haus;Elektrizitätswerke Schönau;Girokonto;Ausgabe
15.11.2022;39,98;Haus;Vodafone;Girokonto;Ausgabe
25.11.2022;28,79;Freizeit;BooKBeat;Girokonto;Ausgabe
29.11.2022;11,55;Lebensmittel;Rewe;Girokonto;Ausgabe
03.11.2022;100,00;Geschenke;Muddr und Vaddr Tanken;Girokonto;Ausgabe
11.11.2022;5,30;Technische Ausrüstung;Zocken;Girokonto;Ausgabe
15.11.2022;203,98;Versicherungen;TK;Girokonto;Ausgabe
15.11.2022;19,48;Technische Ausrüstung;Steam;Girokonto;Ausgabe
17.11.2022;26,48;Freizeit;Kino;Girokonto;Ausgabe
18.11.2022;67,25;Lebensmittel;aldi;Girokonto;Ausgabe
21.11.2022;16,98;Lebensmittel;McDonalds;Girokonto;Ausgabe
23.11.2022;5,30;Reisen;SSB;Girokonto;Ausgabe
24.11.2022;43,20;Freunde;Parken und Essen (Five Guys);Girokonto;Ausgabe
25.11.2022;20,42;Technische Ausrüstung;Steam;Girokonto;Ausgabe
03.12.2022;17,10;Versicherungen;BuV Bayrische Lebensversicherung;Girokonto;Ausgabe
03.12.2022;100,00;Versicherungen;Canada Life Assurance;Girokonto;Ausgabe
03.12.2022;954,00;Miete;Miete an KG;Girokonto;Ausgabe
03.12.2022;50,00;Überweisung;Urlaubsgeld;Girokonto;Ausgabe
03.12.2022;350,00;Investition;Trade Republic;Girokonto;Ausgabe
15.12.2022;7,00;Technische Ausrüstung;Microsoft Office;Girokonto;Ausgabe
15.12.2022;50,00;Haus;Elektrizitätswerke Schönau;Girokonto;Ausgabe
15.12.2022;39,98;Haus;Vodafone;Girokonto;Ausgabe
25.12.2022;28,79;Freizeit;BooKBeat;Girokonto;Ausgabe
04.12.2022;65,01;Tanken;Tanken für 1,72.9;Barvermögen;Ausgabe
08.12.2022;48,82;Lebensmittel;aldi;Barvermögen;Ausgabe
07.12.2022;29,99;Haus;Immoscout;Girokonto;Ausgabe
08.12.2022;18,80;Anpassung;Girokontoanpassung;Girokonto;Ausgabe
10.12.2022;50,00;Tanken;Tanken für 1,69.9;Barvermögen;Ausgabe
15.12.2022;45,66;Lebensmittel;aldi;Barvermögen;Ausgabe
13.12.2022;59,40;Freizeit;comdey Karten;Girokonto;Ausgabe
13.12.2022;50,00;Überweisung;Bargeldabhebung;Girokonto;Ausgabe
15.12.2022;203,98;Versicherungen;TK;Girokonto;Ausgabe
27.12.2023;12,69;Geschenke;Osiander;Girokonto;Ausgabe
29.12.2023;960,00;Miete;Miete an Sandra Bühler;Girokonto;Ausgabe
